rho,epsilon,p_at_10,l1_gamma_pobs,delta_pobs_gamma_ot,pobs_transport_cost,exact_ot_transport_cost,iterations,runtime_seconds,wall_clock_seconds
0.005,0.005,0.72,0.048125207727530595,0.0003611822838028994,1.9917349654656842,1.9913737831818814,30,0.4252002239227295,0.46519041061401367
0.005,0.05,0.728,0.005127477695169158,0.00018904468357322513,1.9917407290302267,1.9915516843466534,30,0.42445969581604004,0.4600059986114502
0.03,0.005,0.72,0.049339313491596176,0.0003503535228301779,1.9917791769412867,1.9914288234184567,30,0.42074108123779297,0.457855224609375
0.03,0.05,0.728,0.024451632440232345,0.00018416093401720304,1.9918129284230912,1.9916287674890738,30,0.4062008857727051,0.44155001640319824
0.05,0.005,0.72,0.0506599434208922,0.00034177032789550754,1.9918154696791799,1.9914736993512845,30,0.41297101974487305,0.4499843120574951
0.05,0.05,0.728,0.040875245109155973,0.00018026493864785678,1.9918709309745828,1.991690666035935,30,0.4064934253692627,0.44126415252685547
0.1,0.005,0.72,0.05585709872060951,0.0003206382210883315,1.9919099652948744,1.9915893270737863,30,0.40698981285095215,0.44315648078918457
0.1,0.05,0.728,0.08251033060605655,0.0001705654165443174,1.9920168601839705,1.9918462947674263,30,0.3982863426208496,0.43584704399108887
0.2,0.005,0.722,0.07697473274832742,0.00027981487121139965,1.9921164756360699,1.9918366607648585,30,0.39856648445129395,0.4354262351989746
0.2,0.05,0.728,0.16802802762885147,0.00015132191285104069,1.9923124895740332,1.9921611676611821,30,0.38750743865966797,0.4228336811065674
0.5,0.005,0.726,0.24937857819203738,0.00016905222243060458,1.9929060596010786,1.9927370073786481,30,0.36913418769836426,0.407196044921875
0.5,0.05,0.728,0.4400130891652328,9.445770272646647e-05,1.9932250143198207,1.9931305566170945,30,0.3803749084472656,0.4189581871032715
