setting,rho,epsilon,p_at_5,p_at_10,p_at_20,mean_delta_x_w2,l1_gamma_pobs,iterations,time_seconds,final_free_energy
strong-anchoring,0.005,0.2,0.7959999999999999,0.726,0.664,0.00507986335000272,0.004935351136806572,60,1.3433661460876465,0.12326600639968759
paper-setting,0.05,0.05,0.7959999999999999,0.73,0.6629999999999999,0.00506082598465324,0.03213686890880864,60,1.3704571723937988,0.12400460185124883
high-drift-grid-best,0.5,0.01,0.78,0.726,0.6589999999999999,0.0049205074729563245,0.14739457448506393,60,1.415006399154663,0.12843047680763742
high-rho-low-epsilon,0.5,0.005,0.784,0.722,0.6259999999999999,0.004524037499585755,0.6374337543872739,60,1.5422155857086182,0.12266591172228854
